x,y,domain
2.3355696,4.784923,1
-7.074517,4.667784,1
-1.8348392,3.747494,1
5.3183064,2.4597576,1
3.9303603,-4.7065406,1
10.66001,2.0046475,1
5.017911,2.2766514,1
1.8416078,5.2177553,1
-0.3657991,5.000529,1
6.1515365,-1.8002486,1
6.099917,2.996328,1
-1.1763633,5.411703,1
4.171845,-4.00352,1
1.6153919,2.2802746,1
-1.7979544,3.6038945,1
4.1550946,-3.9119465,1
11.64781,3.3042765,1
7.6496944,-0.025956104,1
-0.8816193,4.5577636,1
-3.6974115,2.813081,1
6.1782966,-1.3457358,2
4.015476,-4.654663,2
5.5328197,-1.9421935,2
8.364809,0.45997652,2
-0.18965599,4.1245255,2
6.2316337,-1.3104312,2
-7.70505,4.877827,2
6.411482,-1.1908615,2
2.054376,2.5563734,2
2.4277773,3.1269782,2
0.39043978,4.929403,2
5.163017,-2.3931434,2
5.000826,-2.6430676,2
-0.091327295,2.694424,2
7.877791,0.15659358,2
-7.260811,4.695432,2
4.955309,2.4815564,2
10.585373,1.9379889,2
11.26311,2.5306647,2
3.9211197,-4.7369986,2
2.0516927,4.868174,2
2.139577,2.5578442,2
-2.190573,2.842508,2
5.7665424,3.0606518,2
4.134167,-4.224745,2
3.9611673,-4.095413,2
-1.181489,4.9598904,2
-7.7709517,4.785652,2
4.811888,-3.111665,2
11.763939,3.3087754,2
0.2524135,4.884908,2
-0.15495867,4.5920134,2
1.0403241,5.525975,2
-1.8528416,4.9410625,2
-1.9637737,4.678739,2
1.113827,5.1069684,2
5.364621,-2.2568374,2
-1.0137212,4.8751316,2
-0.95074856,4.9352245,2
4.732231,-3.145832,2
-1.2488135,4.978562,2
3.8629642,-4.606017,2
-0.062161066,2.77491,2
5.19965,2.2451675,2
-0.16588941,1.9889934,2
1.3495377,4.75866,2
-0.44508195,2.2903423,2
7.051014,-0.13677846,2
-0.903913,5.276226,2
1.939102,2.8357246,2
4.0315266,-4.775086,2
1.6368587,2.2328615,2
1.8834873,2.7095332,2
0.28899387,5.8052735,2
-7.552749,4.7727995,2
6.2817426,-1.2769849,2
4.120739,-4.1695037,2
-1.4448706,2.7880583,2
-1.4978416,4.9168644,2
-1.4284928,4.396067,2
9.047443,0.7582168,2
2.1773825,4.9504895,2
0.29933643,4.8375297,2
2.1147006,4.721016,2
-2.8063495,2.2750163,2
5.818362,-1.5998206,2
-7.7869635,4.8149233,2
5.2259507,-2.3792186,2
3.8617916,-4.628365,2
0.13859057,4.781624,2
5.8609266,-1.9822303,2
-1.7560017,4.8498464,2
1.4095981,5.43049,2
1.789029,2.8917327,2
5.5549436,-2.2817307,2
5.712836,-1.782969,2
8.074729,0.47427672,2
6.1742063,2.95936,2
2.4166381,2.3982425,2
-3.7295535,3.0054965,2
3.889157,-4.009824,2
-0.5248644,2.0223246,2
-0.43525383,1.9529645,2
1.8465455,4.9432483,2
7.353105,-0.20896973,2
-2.3763223,2.4870582,2
6.140322,2.9888952,2
5.3239374,2.150085,2
