domain,domain_name,active_count,active_frac
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,6,0.375
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,7,0.4375
3,singapore-hollandvillage,6,0.375
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,10,0.625
3,singapore-hollandvillage,9,0.5625
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,7,0.4375
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,7,0.4375
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,6,0.375
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,3,0.1875
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,8,0.5
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,9,0.5625
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,4,0.25
3,singapore-hollandvillage,5,0.3125
3,singapore-hollandvillage,6,0.375
3,singapore-hollandvillage,3,0.1875
